Title
국힘 김석기 3선 성공…“낮은 자세로 경주 발전·윤석열 정부 지킬 것”
"‘4선 도전’ 윤재옥, 대구 달서을 당선 확실"
"개표율 54%… 현재 1위 민주 154곳, 국힘 96곳"
원희룡 “출구조사 맞다면 정권 견제·심판 시급하다 본 것”
"격전의 ‘한강-낙동강벨트’, 출구조사에서도 경합지 다수 [방송3사 출구조사]"
"이재명 “국민의 선택, 겸허한 마음으로 마지막까지 지켜보겠다”"
김병욱 51.7% 김은혜 48.3%…이광재 52.8% 안철수 47.2% [방송3사 출구조사]
22대 총선 최종 투표율 67.0%…32년만에 최고
인천 계양을 이재명 56.1% vs 원희룡 43.8% [방송3사 출구조사]
서울 광진을 고민정 51.6% vs 오신환 48.1% [방송3사 출구조사]
경기 분당갑 이광재 52.8% vs 안철수 47.2% [방송3사 출구조사]
서울 동작을 류삼영 52.3% vs 나경원 47.7% [방송3사 출구조사]
서울 마포을 정청래 50.6% vs 함운경 41.6% [방송3사 출구조사]
이재명 56.0% 원희룡 43.8%…류삼영 50.7% 나경원 49.3% [채널A 예측조사]
"경제계 “22대 국회, 민생·경제활력 살리기에 최선을” 한목소리"
오후 5시 투표율 64.1%…지난 총선보다 1.5%p 높아
오후 4시 투표율 61.8%…지난 총선보다 2.1%p 높아
오후 3시 투표율 59.3%…21대 총선보다 2.8%p 높아
강릉서 “유권자 실어나른다” 의혹…경찰·선관위에 고발
"“잘못 찍었잖아” 군산 투표소에서 50대 남성, 자녀 투표용지 찢어"
"오후 2시 투표율 56.4%, 21대보다 3.4%p 높아…대구 제주 최저"
"“일본 재외투표소서 투표지 훼손…파주선 촬영” 경기도 선관위, 2명 고발"
투표용지 찢고 유튜버 촬영에 음주 행패까지…투표소 곳곳 소동
오후 1시 투표율 53.4%…지난 총선보다 3.7%p 높아
"충남선관위, 투표용지 찢어 훼손한 유권자 3명 고발"
낮 12시 투표율 18.5%…지난 총선보다 0.7%p 낮아
"尹대통령, 오늘 관저서 총선 결과 지켜볼 듯"
박근혜도 한표… ‘보수의 위기’ 질문에 미소만
‘日강제동원 피해’ 95세 양금덕 할머니도 휠체어 투표…“적극적 해결”
"박근혜 전 대통령 대구서 투표, 정치적 메시지는 없었다"
"尹, 관저서 총선 결과 주시…대통령실 참모들도 차분한 분위기"
이재명 “1어나 투표할 시간” vs 한동훈 “젖먹던 힘까지 투표 독려”
오전 11시 투표율 14.5%…지난 총선보다 0.8%p 낮아
오전 10시 투표율 10.4%…지난 총선보다 1%p 낮아
"美 정찰기 3대, 총선 하루 앞두고 北 도발 가능성 감시"
한 총리 “투표소 몰카 점검·투표함 이송 땐 경찰 동석”…막판 현장 점검
부산 성명전 “불법 판치는 국힘 ”-“용납못할 민주당 후보들”
MZ 투표 이색 인증샷 확산…‘한화ㅜ승’ 빈 공간에 도장 꾹
"부산 수영구 與 정연욱, 장예찬 완주 고수에 “보수정통 후보는 나”"
최고치 갈아치운 사전투표율…21대 총선 투표율 ‘66.2%’ 깰까
내 투표소는 ‘http://si.nec.go.kr’에서 찾으세요
사전투표 이틀 동원된 남원시청 공무원 숨져…노조 “과로사”
제주서 술 취해 국힘 선거운동원 5명 폭행한 남성 검거
"한 총리, 오세훈 시장과 투표소 점검…“한치의 실수·오점 안돼”"
격전지 거제 ‘마지막 유세’ 총력전… “尹정권과 싸움” vs “진정한 일꾼”
조국 “돈 퍼부었는데 결과 한심…‘엑스포 국정조사’ 동의”
사전 투표함은 어떻게 보관될까? [청계천 옆 사진관]
"사전투표율 ‘31.3%’ 예견한 민주당…김민석 “죄송, 조작설 휘말려”"
사전투표율 31.28%…與 “오만한 세력에 분노” 野 “나라 주인 누군지 보여줘”
사전투표율 31.28% ‘역대 최고’…총선 첫 30% 돌파
“투표용지에 도장 찍혔다” 소동…알고보니 관리관 직인
사전투표 둘째날 오후 2시 투표율 24.93%…21대보다 4.48%p↑
제주 사전투표소서 ‘투표용지 촬영’ 유권자 적발
총선 둘째날 사전투표율 오전 11시 20.51%…21대 보다 4.05%p↑
총선 둘째날 사전투표율 오전 9시 17.78%…21대보다 3.74%p↑
총선 둘째날 사전투표율 오전 8시 16.86%…21대보다 3.61%↑
사전투표 둘째날 오전 7시 투표율 16.17%…21대보다 3.52%p↑
사전투표 둘째날 오전 7시 투표율 16.17%…전남이 가장 높아
‘킬러문항’ 같은 비례대표 투표…‘지역구만 투표’ 후 퇴장하기도
오후 5시 사전투표율 14.08%…21대 총선보다 3.15%p 높아
"오후 4시 투표율 12.60%…전남 20% 육박, 대구 10% 밑"
"오후 3시 사전투표율 11.12%…전남 17.74% 최고, 대구 최저"
"오후 2시 사전투표율 9.57%…전남 최고, 대구 최저"
‘역대 최장’ 51.7㎝ 투표용지에 유권자들 아연실색 “우리 쪽이 몇 번?”
오후 1시 사전투표율 8%…21대 총선 대비 2.02%p↑
사전투표 첫날 정오 투표율 6.56%…21대보다 1.66%p↑
대전서 사전투표한 이재명…“투표 많이 하는 쪽이 이긴다”
첫날 사전투표율 오전 11시 5.09%…지난 총선 대비 1.37%p↑
사전투표 마친 文 “투표해야 심판한다…현 정부 정신 차려야”
"사전투표소 ‘대파 발레파킹’…선관위 “정치적 의도 우려, 외부 보관해야”"
"국힘, ‘한동훈 아들 학폭’ 의혹 제기 강민정·황운하 등 고발"
중앙선관위 “사전투표소 특별점검서 불법 시설물 발견 안돼”
"선방위, 날씨 보도에 ‘파란색 1’ 쓴 MBC에 관계자 징계 의결"
[온라인 라운지]국토 최남단 마라도에서 투표참여홍보 캠페인
"행안부, 사전투표소 최종 현장 점검…불법카메라 탐지도"
내일부터 이틀간 총선 사전투표…전국 어디서든 투표 가능
"‘재판 거부’ 송영길, 4일 구치소서 총선 후보자 방송연설 녹화"
"선관위 “고용주, 투표자 투표시간 청구 거절하면 과태료”"
대전서도 사전투표소 2곳에서 불법 카메라 발견
성남·김포 사전투표소도 불법카메라 발견… “인천 설치 동일범 추정”
"다가온 韓총선, 日언론도 주목…“尹 정권 중간평가”"
유권자 10명 중 4명 “사전투표일에 투표할 것”
유권자 76.5% “반드시 투표”…사전투표 의향 41.4%
정부 “총선 불법행위에 무관용 원칙…배후 밝혀 책임 묻겠다”
"한 총리 “총선 선거운동 중 폭력 행위, 무관용 원칙 엄정대응”"
이행숙 “19년간 인천 주민과 호흡한 지역 전문가…검단 발전 청사진 반드시 완성” [총선 티키타카]
내일부터 4·10총선 선거운동 시작…후보 관련글 SNS 공유 주의
선거보조금 민주 189억·국힘 177억 수령…위성정당 28억씩 받아
